path,git_state_at_start_of_this_stage,belongs_to_this_stage,notes
.gitignore,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
PROJECT_STATUS.md,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
README.md,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
docs/READ_ME_FIRST_FOR_AI.md,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
papers/JDIQ_2026/EVIDENCE_PROVENANCE_20260730.md,added_staged_new_file,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
papers/JDIQ_2026/README.md,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
reports/README.md,modified_staged,"previous stage, still valid and in-scope here",Content unaffected by the manuscript-macro revert; carried forward as part of this corrected run's baseline
reports/final_revision_task1_pool_cutoff_20260715/FINAL_REPORT.md,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/20260714_233052_greedy_launch.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/20260714_233158_exact_launch.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/20260714_235826_validation_launch.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/20260715_000102_validation_launch.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/exact_run_summary.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/exact_study_manifest.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/feasibility.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/greedy_study_manifest.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/run_summary.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/manifests/validation_summary.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/run_manifests/run_pool_cutoff_exact.sh,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/run_manifests/run_pool_cutoff_study.sh,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/run_manifests/run_validation.sh,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/scripts/run_pool_cutoff_exact.py,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/scripts/run_pool_cutoff_study.py,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/scripts/verify_pool_cutoff_outputs.py,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/feasible_config_grid.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_exact_exclusions.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_exact_solver_status.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_exact_statistics.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_exclusions.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_pair_metrics.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_statistics.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/pool_cutoff_structural_summary.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/score_depth_by_ranker.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/tables/score_depth_union_overlap.csv,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task1_pool_cutoff_20260715/validation/pool_cutoff_verification.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task4_exact_baseline_fairness_20260715/FINAL_REPORT.md,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
reports/final_revision_task4_exact_baseline_fairness_20260715/manifests/20260715_120258_exact_unrepaired_launch.json,added_staged_new_file,"previous stage, still valid and in-scope here",Newly-tracked via the .gitignore carve-out; unaffected by the manuscript-macro revert
