current_path,proposed_destination,risk_level,decision,notes
papers/papers/,(delete),very low,approved - execute as deletion (see deleted_temporary_items.csv),"zero files, untracked, unreferenced"
"0706C337-D693-4E53-A51D-87B7D8AD0FA5.png, 74556F5F-D495-41DF-9EDE-203C4CD1008A.png, CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png, FC0356B8-3DD3-4014-8903-4368933D867D.png, IMG_5259.png, IMG_5260.png, IMG_5261.png, IMG_5265.png, IMG_5268.png, IMG_5280.png",docs/assets/legacy_screenshots/,low,approved - execute (git mv),zero inbound references confirmed via repo-wide grep for each basename
"failure_taxonomy_distribution_uniform.pdf, fig_mean_ndcg_hybrids_clean.pdf, figure1_preference_graph_pipeline.pdf, figure2_graph_inconsistency_by_regime.pdf, figure3_structural_quality_improvement_ms1.pdf, figure4_repair_effect_forest_final.pdf, figure5_dataset_comparison.pdf, figure6_failure_taxonomy.pdf",figures/legacy/,low,approved - execute (git mv),zero inbound references confirmed via repo-wide grep for each basename in *.tex
Consistency_Aware_Reranking_via_Preference_Graph_Repair__Structural_Gains_and_Conditional_Retrieval_Effects_IJCS.zip,papers/_archive/IJCS_early_draft.zip,low,approved - execute (git mv + rename) + update papers/JDIQ_2026/scripts/build_master_inventory.py location string,"one reference found in build_master_inventory.py (a stale-labeled inventory generator, itself referencing this file by exact name) -- update in place"
"AUDIT_LOCAL_BRANCH.md, EXPANDED_SELECTIVE_REPORT.md, FAS_NICHE_REPORT.md, MANUSCRIPT_SUMMARY.md, MULTI_SCORER_EXPERIMENT_REPORT.md, MULTI_SCORER_SUMMARY.md, PAPER_DRAFT_WORDING.md, PAPER_OUTLINE.md, PAPER_READY_REPORT.md, REAL_SCORER_EXPERIMENT_REPORT.md, REASONING_BENCHMARK_FEASIBILITY.md, REMEDIATION_REPORT.md, REVIEWER_CONCERN_GAP_AUDIT.md, TODO.md, VALIDATION_REPORT.md",docs/historical/,medium,approved - execute (git mv) + update README.md tree diagram + update build_master_inventory.py 2 location strings,"Per-file grep performed for every one of the 15 filenames; all cross-references found are either (a) narrative prose between files moving together in this same batch (internally consistent before/after), (b) already-historical documents describing the file by name (docs/historical/AUDIT_LOCAL_BRANCH_20260726_pre_remediation.md), or (c) the 2 live-script references repaired alongside this move. README.md's repo-tree diagram line for TODO.md updated to reflect new location. MANUSCRIPT_SUMMARY.md basename collides with unrelated same-named files in outputs/pub_vote_cmp_all4/, outputs/pub_vote_cmp_v2/, docs/research/, outputs/final_jis_package/ -- verified none of those 9 grep hits reference the ROOT file specifically (all use fully-qualified paths to their own directory's copy)"
"reports/repo_publication_audit.md, reports/repo_cleanup_recommendations.md, reports/paper_safe_contributions.md, reports/canonical_results_inventory.csv, reports/claim_support_matrix.csv, reports/repaired_vs_unrepaired_master_table.csv",reports/_archive/publication_audit_20260406/,low,approved - execute (git mv) + update reports/README.md's relative links to these files,reports/README.md is the only inbound pointer (self-referential within this family); its links updated in the same commit-equivalent change to point at the new relative paths
"outputs/pub_vote_cmp_all4/, outputs/pub_vote_cmp_v2/, outputs/q1_journal_package/",(no move -- add in-place HISTORICAL marker only),medium,"approved - additive documentation only, NOT a move","scripts/generate_q1_tables.py, scripts/build_paper_evidence_package.py, scripts/summarize_publication_vote_suite.py, tests/test_metric_aware_first_experiment.py all still default to these paths; moving would break those scripts' documented defaults -- confirmed unchanged from Stage 1's assessment"
experiments/real_llm_integrity_audit_20260712_232154_SUPERSEDED_originmain_only/,"(delete, pending independent verification)",low,see deleted_temporary_items.csv for the verification outcome,directory name is self-labeled SUPERSEDED; verification performed in Stage 2.5
reports/exact_ilp_repair_investigation/,reports/_archive/exact_ilp_repair_investigation_SUPERSEDED/,medium,approved - execute (git mv),"Verified this stage: the only 3 files matching a grep for its exact name (papers/JDIQ_2026/submission/final_anonymous/SOURCE_MANIFEST.md, build_anonymous_supplementary.py, build_final_anonymous.py) use the string 'exact_ilp_repair_investigation' only as an internal folder-name LABEL inside the anonymous-submission bundle, mapped in code to the CURRENT reports/exact_open_source_ilp_repair_investigation/tables -- confirmed by reading the source-directory mapping dict in both scripts. No actual reference to the old directory's contents exists anywhere."
"reports/jdiq-overnight-20260713-225928/, reports/jdiq-overnight-cont-20260713-230229/",reports/_archive/,medium,approved - execute (git mv) + add migration note in duplicate_directory_resolution.md,"6 files reference these paths (REVIEWER_CONCERN_GAP_AUDIT.md, 2 hygiene-audit report files, 2 run-manifest JSONs containing a frozen historical git-status snapshot, papers/JDIQ_2026/manuscript/REVISION_SUMMARY.md) -- all confirmed to be historical/narrative mentions (frozen point-in-time records or prose describing where something was once prepared), not live functional dependencies; left unedited per 'preserve historical references where they describe the original location', with a migration note added instead"
"papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv, papers/JDIQ_2026/SECTION_EVIDENCE_MAP.csv",(no move -- already superseded via pointers in Stage 1),medium,"no action this stage (content regeneration, not a move)",Unchanged from Stage 1's assessment; out of scope for a structural-organization stage
