artifact,location,description,publication_quality,recommended_usage,manuscript_section,confidence,canonical,historical,stale
final_method_gap_audit_20260711_221113,experiments/final_method_gap_audit_20260711_221113,Auto-discovered audit_workspace,high,authoring_blueprint,n/a,high,conditional,no,no
openai_hotpotqa_real_listwise_q10_k15,outputs/openai_hotpotqa_real_listwise_q10_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_hotpotqa_real_pointwise_q10_k15,outputs/openai_hotpotqa_real_pointwise_q10_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_hotpotqa_real_run_q10_k15,outputs/openai_hotpotqa_real_run_q10_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_robustness_checks,outputs/openai_robustness_checks,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_scidocs_real_listwise_q20_k15,outputs/openai_scidocs_real_listwise_q20_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_scidocs_real_pairwise_q30_k15,outputs/openai_scidocs_real_pairwise_q30_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_scidocs_real_pointwise_q20_k15,outputs/openai_scidocs_real_pointwise_q20_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
openai_scidocs_real_run_q20_k15,outputs/openai_scidocs_real_run_q20_k15,Auto-discovered real_llm_run,medium,appendix,Results,medium,conditional,no,no
failure_mining_llm,reports/failure_mining_llm,Auto-discovered failure_mining,medium-high,supplementary_data,Methods,medium,conditional,no,no
failure_mining_llm_v3_driver.log,reports/failure_mining_llm_v3_driver.log,Auto-discovered failure_mining,medium-high,supplementary_data,Methods,medium,conditional,no,no
failure_mining_tmux.log,reports/failure_mining_tmux.log,Auto-discovered failure_mining,medium-high,supplementary_data,Methods,medium,conditional,no,no
