provider,model,dataset,query_id,doc_a_id,doc_b_id,direction,from_cache,raw_response,category,current_parser_label,stored_parse_error,prompt_tokens,completion_tokens
cohere,command-r-plus-08-2024,fiqa,0,194308,216077,ab,False,B,exact,B,,267,1
cohere,command-r-plus-08-2024,fiqa,0,194308,216077,ba,False,A,exact,A,,267,1
cohere,command-r-plus-08-2024,fiqa,0,194308,327002,ab,False,B,exact,B,,252,1
cohere,command-r-plus-08-2024,fiqa,0,194308,327002,ba,False,A,exact,A,,252,1
cohere,command-r-plus-08-2024,fiqa,0,194308,381151,ab,False,B,exact,B,,245,1
cohere,command-r-plus-08-2024,fiqa,0,194308,381151,ba,False,B,exact,B,,245,1
cohere,command-r-plus-08-2024,fiqa,0,194308,417981,ab,False,B,exact,B,,263,1
cohere,command-r-plus-08-2024,fiqa,0,194308,417981,ba,False,B,exact,B,,263,1
cohere,command-r-plus-08-2024,fiqa,0,194308,513362,ab,False,A,exact,A,,173,1
cohere,command-r-plus-08-2024,fiqa,0,194308,513362,ba,False,B,exact,B,,173,1
cohere,command-r-plus-08-2024,fiqa,0,194308,531442,ab,False,B,exact,B,,247,1
cohere,command-r-plus-08-2024,fiqa,0,194308,531442,ba,False,A,exact,A,,247,1
cohere,command-r-plus-08-2024,fiqa,0,194308,531578,ab,False,B,exact,B,,261,1
cohere,command-r-plus-08-2024,fiqa,0,194308,531578,ba,False,A,exact,A,,261,1
cohere,command-r-plus-08-2024,fiqa,0,194308,55200,ab,False,B,exact,B,,236,1
cohere,command-r-plus-08-2024,fiqa,0,194308,55200,ba,False,A,exact,A,,236,1
cohere,command-r-plus-08-2024,fiqa,0,194308,562777,ab,False,A,exact,A,,245,1
cohere,command-r-plus-08-2024,fiqa,0,194308,562777,ba,False,B,exact,B,,245,1
cohere,command-r-plus-08-2024,fiqa,0,216077,327002,ab,False,B,exact,B,,301,1
cohere,command-r-plus-08-2024,fiqa,0,216077,327002,ba,False,B,exact,B,,301,1
cohere,command-r-plus-08-2024,fiqa,0,216077,381151,ab,False,A,exact,A,,294,1
cohere,command-r-plus-08-2024,fiqa,0,216077,381151,ba,False,B,exact,B,,294,1
cohere,command-r-plus-08-2024,fiqa,0,216077,417981,ab,False,A,exact,A,,312,1
cohere,command-r-plus-08-2024,fiqa,0,216077,417981,ba,False,B,exact,B,,312,1
cohere,command-r-plus-08-2024,fiqa,0,216077,513362,ab,False,A,exact,A,,222,1
cohere,command-r-plus-08-2024,fiqa,0,216077,513362,ba,False,B,exact,B,,222,1
cohere,command-r-plus-08-2024,fiqa,0,216077,531442,ab,False,B,exact,B,,296,1
cohere,command-r-plus-08-2024,fiqa,0,216077,531442,ba,False,B,exact,B,,296,1
cohere,command-r-plus-08-2024,fiqa,0,216077,531578,ab,False,B,exact,B,,310,1
cohere,command-r-plus-08-2024,fiqa,0,216077,531578,ba,False,A,exact,A,,310,1
cohere,command-r-plus-08-2024,fiqa,0,216077,55200,ab,False,B,exact,B,,285,1
cohere,command-r-plus-08-2024,fiqa,0,216077,55200,ba,False,B,exact,B,,285,1
cohere,command-r-plus-08-2024,fiqa,0,216077,562777,ab,False,A,exact,A,,294,1
cohere,command-r-plus-08-2024,fiqa,0,216077,562777,ba,False,B,exact,B,,294,1
cohere,command-r-plus-08-2024,fiqa,0,327002,381151,ab,False,A,exact,A,,279,1
cohere,command-r-plus-08-2024,fiqa,0,327002,381151,ba,False,B,exact,B,,279,1
cohere,command-r-plus-08-2024,fiqa,0,327002,417981,ab,False,A,exact,A,,297,1
cohere,command-r-plus-08-2024,fiqa,0,327002,417981,ba,False,B,exact,B,,297,1
cohere,command-r-plus-08-2024,fiqa,0,327002,513362,ab,False,A,exact,A,,207,1
cohere,command-r-plus-08-2024,fiqa,0,327002,513362,ba,False,B,exact,B,,207,1
cohere,command-r-plus-08-2024,fiqa,0,327002,531442,ab,False,B,exact,B,,281,1
cohere,command-r-plus-08-2024,fiqa,0,327002,531442,ba,False,B,exact,B,,281,1
cohere,command-r-plus-08-2024,fiqa,0,327002,531578,ab,False,B,exact,B,,295,1
cohere,command-r-plus-08-2024,fiqa,0,327002,531578,ba,False,B,exact,B,,295,1
cohere,command-r-plus-08-2024,fiqa,0,327002,55200,ab,False,A,exact,A,,270,1
cohere,command-r-plus-08-2024,fiqa,0,327002,55200,ba,False,B,exact,B,,270,1
cohere,command-r-plus-08-2024,fiqa,0,327002,562777,ab,False,A,exact,A,,279,1
cohere,command-r-plus-08-2024,fiqa,0,327002,562777,ba,False,B,exact,B,,279,1
cohere,command-r-plus-08-2024,fiqa,0,381151,417981,ab,False,B,exact,B,,290,1
cohere,command-r-plus-08-2024,fiqa,0,381151,417981,ba,False,B,exact,B,,290,1
cohere,command-r-plus-08-2024,fiqa,0,381151,513362,ab,False,A,exact,A,,200,1
cohere,command-r-plus-08-2024,fiqa,0,381151,513362,ba,False,B,exact,B,,200,1
cohere,command-r-plus-08-2024,fiqa,0,381151,531442,ab,False,B,exact,B,,274,1
cohere,command-r-plus-08-2024,fiqa,0,381151,531442,ba,False,A,exact,A,,274,1
cohere,command-r-plus-08-2024,fiqa,0,381151,531578,ab,False,B,exact,B,,288,1
cohere,command-r-plus-08-2024,fiqa,0,381151,531578,ba,False,A,exact,A,,288,1
cohere,command-r-plus-08-2024,fiqa,0,381151,55200,ab,False,B,exact,B,,263,1
cohere,command-r-plus-08-2024,fiqa,0,381151,55200,ba,False,A,exact,A,,263,1
cohere,command-r-plus-08-2024,fiqa,0,381151,562777,ab,False,B,exact,B,,272,1
cohere,command-r-plus-08-2024,fiqa,0,381151,562777,ba,False,B,exact,B,,272,1
cohere,command-r-plus-08-2024,fiqa,0,417981,513362,ab,False,A,exact,A,,218,1
cohere,command-r-plus-08-2024,fiqa,0,417981,513362,ba,False,B,exact,B,,218,1
cohere,command-r-plus-08-2024,fiqa,0,417981,531442,ab,False,B,exact,B,,292,1
cohere,command-r-plus-08-2024,fiqa,0,417981,531442,ba,False,B,exact,B,,292,1
cohere,command-r-plus-08-2024,fiqa,0,417981,531578,ab,False,B,exact,B,,306,1
cohere,command-r-plus-08-2024,fiqa,0,417981,531578,ba,False,A,exact,A,,306,1
cohere,command-r-plus-08-2024,fiqa,0,417981,55200,ab,False,B,exact,B,,281,1
cohere,command-r-plus-08-2024,fiqa,0,417981,55200,ba,False,A,exact,A,,281,1
cohere,command-r-plus-08-2024,fiqa,0,417981,562777,ab,False,A,exact,A,,290,1
cohere,command-r-plus-08-2024,fiqa,0,417981,562777,ba,False,B,exact,B,,290,1
cohere,command-r-plus-08-2024,fiqa,0,513362,531442,ab,False,B,exact,B,,202,1
cohere,command-r-plus-08-2024,fiqa,0,513362,531442,ba,False,A,exact,A,,202,1
cohere,command-r-plus-08-2024,fiqa,0,513362,531578,ab,False,B,exact,B,,216,1
cohere,command-r-plus-08-2024,fiqa,0,513362,531578,ba,False,A,exact,A,,216,1
cohere,command-r-plus-08-2024,fiqa,0,513362,55200,ab,False,B,exact,B,,191,1
cohere,command-r-plus-08-2024,fiqa,0,513362,55200,ba,False,A,exact,A,,191,1
cohere,command-r-plus-08-2024,fiqa,0,513362,562777,ab,False,B,exact,B,,200,1
cohere,command-r-plus-08-2024,fiqa,0,513362,562777,ba,False,B,exact,B,,200,1
cohere,command-r-plus-08-2024,fiqa,0,531442,531578,ab,False,B,exact,B,,290,1
cohere,command-r-plus-08-2024,fiqa,0,531442,531578,ba,False,A,exact,A,,290,1
cohere,command-r-plus-08-2024,fiqa,0,531442,55200,ab,False,B,exact,B,,265,1
cohere,command-r-plus-08-2024,fiqa,0,531442,55200,ba,False,B,exact,B,,265,1
cohere,command-r-plus-08-2024,fiqa,0,531442,562777,ab,False,A,exact,A,,274,1
cohere,command-r-plus-08-2024,fiqa,0,531442,562777,ba,False,B,exact,B,,274,1
cohere,command-r-plus-08-2024,fiqa,0,531578,55200,ab,False,A,exact,A,,279,1
cohere,command-r-plus-08-2024,fiqa,0,531578,55200,ba,False,B,exact,B,,279,1
cohere,command-r-plus-08-2024,fiqa,0,531578,562777,ab,False,A,exact,A,,288,1
cohere,command-r-plus-08-2024,fiqa,0,531578,562777,ba,False,B,exact,B,,288,1
cohere,command-r-plus-08-2024,fiqa,0,55200,562777,ab,False,A,exact,A,,263,1
cohere,command-r-plus-08-2024,fiqa,0,55200,562777,ba,False,B,exact,B,,263,1
azure,gpt-4.1-mini,fiqa,0,194308,216077,ab,False,B,exact,B,,262,2
azure,gpt-4.1-mini,fiqa,0,194308,216077,ba,False,A,exact,A,,262,2
azure,gpt-4.1-mini,fiqa,0,194308,327002,ab,False,B,exact,B,,244,2
azure,gpt-4.1-mini,fiqa,0,194308,327002,ba,False,A,exact,A,,244,2
azure,gpt-4.1-mini,fiqa,0,194308,381151,ab,False,B,exact,B,,240,2
azure,gpt-4.1-mini,fiqa,0,194308,381151,ba,False,A,exact,A,,240,2
azure,gpt-4.1-mini,fiqa,0,194308,417981,ab,False,B,exact,B,,251,2
azure,gpt-4.1-mini,fiqa,0,194308,417981,ba,False,A,exact,A,,251,2
azure,gpt-4.1-mini,fiqa,0,194308,513362,ab,False,A,exact,A,,168,2
azure,gpt-4.1-mini,fiqa,0,194308,513362,ba,False,B,exact,B,,168,2
azure,gpt-4.1-mini,fiqa,0,194308,531442,ab,False,B,exact,B,,242,2
azure,gpt-4.1-mini,fiqa,0,194308,531442,ba,False,A,exact,A,,242,2
azure,gpt-4.1-mini,fiqa,0,194308,531578,ab,False,B,exact,B,,254,2
azure,gpt-4.1-mini,fiqa,0,194308,531578,ba,False,A,exact,A,,254,2
azure,gpt-4.1-mini,fiqa,0,194308,55200,ab,False,B,exact,B,,229,2
azure,gpt-4.1-mini,fiqa,0,194308,55200,ba,False,A,exact,A,,229,2
azure,gpt-4.1-mini,fiqa,0,194308,562777,ab,False,A,exact,A,,240,2
azure,gpt-4.1-mini,fiqa,0,194308,562777,ba,False,A,exact,A,,240,2
azure,gpt-4.1-mini,fiqa,0,216077,327002,ab,False,B,exact,B,,294,2
azure,gpt-4.1-mini,fiqa,0,216077,327002,ba,False,A,exact,A,,294,2
azure,gpt-4.1-mini,fiqa,0,216077,381151,ab,False,A,exact,A,,290,2
azure,gpt-4.1-mini,fiqa,0,216077,381151,ba,False,A,exact,A,,290,2
azure,gpt-4.1-mini,fiqa,0,216077,417981,ab,False,A,exact,A,,301,2
azure,gpt-4.1-mini,fiqa,0,216077,417981,ba,False,A,exact,A,,301,2
