claim_id,claim_text,support_level,evidence_files_notes,should_appear_in_paper
C1,"Graph repair (FAS) always improves nDCG@k for retrieval",contradicted,"all4/v2 bootstrap tables show Δ≈0 or negative or CIs straddling 0 depending on dataset×variant; README states non-uniformity",NO
C2,"Vote construction strongly controls cycle incidence (ms2 vs ms1 vs ms1_drop_mutual)",strongly_supported,"outputs/pub_vote_cmp_all4/paper_package/tables/table_graph_ndcg_and_consistency.csv (pct_cyclic avg_largest_scc avg_n_edges); same structure in v2 with different magnitudes",YES with per-run citation
C3,"FAS repair reduces graph–reference BEW/PIC when repair removes weight (esp. ms1 cyclic regimes)",strongly_supported,"outputs/pub_vote_cmp_all4/paper_package/tables/table_consistency_qrels_bew.csv; table_graph (delta columns)",YES with caveat: metrics use same qrels as evaluation
C4,"Repaired Copeland hybrid improves mean nDCG vs unrepaired (global)",unsupported,"all4: FiQA ms1 point estimate positive but CI straddles; HotpotQA ms1 CI [0 0.0405] from committed CSV; SciDocs ms1 near-zero negative with straddling CI",NO as universal
C5,"Under ms1 on SciDocs repaired Copeland has strictly negative bootstrap CI (harm)",weakly_supported_in_all4_strong_in_v2,"all4 table_bootstrap: scidocs ms1 copeland mean_delta -1.27e-4 CI [-8.4e-4 +5.95e-4] straddles 0. v2 same row: -0.00912 CI strictly <0. Do not mix.",YES only if single package chosen; prefer all4 numbers with 'not significant' or use v2 only with explicit archive label
C6,"Repair is inactive (ΔnDCG=0) when graphs are near-acyclic (ms2 / ms1_drop_mutual)",strongly_supported,"all4 bootstrap rows for ms2 and ms1_drop_mutual: copeland/balance mean_delta 0 CI [0 0] for listed n_queries",YES
C7,"Effect of repair on nDCG depends on vote construction and dataset",strongly_supported,"all4: heterogeneous rows across dataset×variant×pair; MANUSCRIPT_SUMMARY (v2) states conditional framing",YES
C8,"High-cyclicity subgraphs drive more negative Δ on SciDocs (SCC stratification)",weakly_supported_in_all4,"all4 scidocs ms1 copeland_scc_high vs copeland_scc_low: both CIs straddle 0 (means differ). v2 had stronger separation. Flag protocol drift.",CONDITIONAL appendix only with caveats
C9,"Consistency-aware reranking is a production-ready win for LLM retrieval",unsupported,"No LLM pairwise judges in main suite; votes from BM25 TF-IDF MiniLM scores",NO
C10,"Greedy FAS structural repair changes rankings without guaranteed retrieval gain",strongly_supported,"Inactive rows + negative/near-zero rows + positive HotpotQA ms1 point estimate in same table family",YES as framing
