item,category,description,priority,recommended_next_step
docs/REPRODUCTION_CANONICAL.md pipeline map incomplete,documentation,"Only documents Layers 1-3 (pre-2026-07-15); does not mention final_revision_task1/task4, exact_open_source_ilp_repair_investigation, or repository_scale_headroom_analysis, all of which scripts/run_ir_evidence_audit.py depends on",low-medium,"Add Layer 4-6 rows to the existing table; the underlying data is already tracked and correct, this is a documentation-completeness gap only"
~40 files still mention outputs/pub_vote_cmp_all4/ without individual review,documentation,"Identified via repo-wide grep, not read individually (experiments/*/, outputs/*/README.md, docs/research/*, papers/JDIQ_2026/manuscript/*_AUDIT.md, papers/negative_result_2026/CLAIMS_AND_EVIDENCE.md, figures/*/README.md, etc.)",low,A documentation-consolidation pass should work through canonical_reference_changes.csv's grep-level list individually
SCIP/PySCIPOpt version not pinned in requirements.txt,reproducibility,docs/REPRODUCTION_CANONICAL.md narratively lists pyscipopt 6.2.1 as the reference version but this is not machine-enforced (no version pin in requirements.txt or pyproject.toml),low,Add an explicit version constraint or extras_require entry
reports/exact_ilp_repair_investigation/ vs reports/exact_open_source_ilp_repair_investigation/ naming collision,hygiene,"Old (56KB, gitignored, unused-by-current-code) vs current (4.2MB, tracked, used everywhere) directories have near-identical names; old one still referenced by 3 files in papers/JDIQ_2026/submission/","RESOLVED (repo Stage 2, 2026-07-30)",Done: moved to reports/_archive/exact_ilp_repair_investigation_SUPERSEDED/ after confirming no active reference existed (see reports/repo_structural_org_stage2_20260730T014347Z/duplicate_directory_resolution.md).
outputs/pub_vote_cmp_all4/ + outputs/pub_vote_cmp_v2/ + outputs/q1_journal_package/ still the functional default for 4 scripts,hygiene / reproducibility,"scripts/generate_q1_tables.py, scripts/build_paper_evidence_package.py, scripts/summarize_publication_vote_suite.py, tests/test_metric_aware_first_experiment.py all still point at this historical pipeline by default",medium,"Decide whether these scripts should be updated to default to full_calibrated_core, retired, or explicitly kept as a historical-reproduction path (author judgment call, not a hygiene decision)"
papers/JDIQ_2026/MASTER_EVIDENCE_INVENTORY.csv / SECTION_EVIDENCE_MAP.csv not regenerated,documentation,"Historical provenance preserved byte-for-byte per this stage's brief, but no one has yet regenerated a full replacement at the same granularity (69-artifact inventory) against full_calibrated_core",medium,A future stage should either regenerate these two files against the current pipeline or formally retire them in favor of canonical_evidence_inventory.csv (this stage's file) plus EVIDENCE_PROVENANCE_20260730.md
61 duplicate large files between reports/ and papers/JDIQ_2026/submission/final_anonymous/supplemental/,hygiene,normalization_protocol_audit and full_calibrated_core tables (~38MB combined) are duplicated verbatim into the anonymous-submission bundle; likely an intentional frozen-snapshot pattern but not explicitly documented as such anywhere,low,"Add a one-line note to canonical_artifacts.md (already exists in the prior hygiene audit) confirming this is an intentional frozen-submission-snapshot pattern, not accidental drift"
papers/JDIQ_2026/CANONICAL_PAPER_STORY.md's one pub_vote_cmp_all4 citation (S3),scientific narrative (explicitly out of scope for hygiene stages),One data point (HotpotQA ms1 regime-specific positive case) cites the historical pipeline within a multi-source narrative-strategy document,low (narrative judgment call),Requires an author (not a hygiene pass) to decide whether this specific historical data point should be replaced with a full_calibrated_core-era equivalent or kept as an explicitly-historical example
No cluster-robust re-analysis of the real-LLM studies (LLM-03/04/05),statistics (explicitly out of scope for this stage),bootstrap_mean_interval() resamples 120 rows i.i.d. when only 6 queries are truly independent; extraction_study's 8-extractor family has no Holm/BH correction,"RESOLVED (repo Stage 3, 2026-07-30)","Done -- see reports/real_llm_clustered_reanalysis_20260730T023745Z/. Query-clustered bootstrap, exact sign-flip/permutation tests, and Holm correction across the declared 8-extractor and 23-feature families now supersede the row-level statistics for all three real-LLM studies."
No real LaTeX compile of main.tex performed,validation,No TeX engine (pdflatex/xelatex/lualatex) installed in this environment; only a non-functional latexmk shim is present,"low (main.tex was not touched by this stage at all, so this is a pre-existing gap, not introduced by this stage)","Run latexmk -pdf main.tex in an environment with a real TeX install before the next submission, independent of any cleanup stage"
Duplicate votes_ms1*.jsonl across experiments/method_improvement_audit_20260711_205733/ and reports/_archive/jdiq-overnight-20260713-225928/,hygiene,Same input JSONLs tracked twice under two different directories; jdiq-overnight-20260713-225928 was moved to reports/_archive/ this stage (Stage 2) but the duplication itself was not resolved (deduplicating would touch a third directory outside this stage's approved-moves list),low,A future stage should decide which copy is canonical and remove or symlink the other.
experiments/method_improvement_audit_20260711_205733/run_method_improvement_audit.py reads from reports/_archive/publication_audit_20260406/ (post Stage-2 path fix),reproducibility,"This stage updated 3 hardcoded path strings in this script's phase0_baseline() method so it does not raise FileNotFoundError after the file moves, but the script itself was not run/tested this stage (it is a one-off 2026-07-11 historical audit tool with no test coverage)",low,"If this script is ever re-run, verify phase0_baseline() completes; the outer per-phase try/except means a further path issue would be logged as a failed phase, not a crash, so this is low-risk either way."
